Method,Average rank,Top-1 tasks,Top-3 tasks
Ours / SCOPE,2.6315789473684212,4,14
AdaptFormer,7.526315789473684,1,4
AOFT,8.263157894736842,1,4
FacT-style,8.421052631578947,1,2
AdaptFormer-FPET,8.68421052631579,0,2
RepAdapter-B,8.894736842105264,2,6
NOAH,9.105263157894736,3,5
LoRA+Adapter‡,9.68421052631579,0,3
DoRA,10.789473684210526,0,1
MOIL,10.947368421052632,0,3
RepAdapter-A,10.947368421052632,1,5
LoRA,11.210526315789474,0,0
Adapter,11.473684210526315,3,3
CVPT,11.789473684210526,1,2
GOFT,12.421052631578947,0,2
LoRA-FPET,12.473684210526315,0,1
OFT,14.263157894736842,0,1
BitFit,14.31578947368421,0,2
SSF,14.842105263157896,0,0
VPT-D,15.421052631578947,0,0
Full fine-tuning,16.157894736842106,2,2
VeRA,20.36842105263158,0,0
SPT-style,21.894736842105264,0,0
VPT-S,22.105263157894736,0,0
Linear,24.05263157894737,0,0
