Method,CUB,NABirds,Flowers,Cars,Dogs,Avg(done),Params(M)
AOFT,88.0,83.9,99.4,60.7,91.7,84.7,0.310
Linear,87.3,80.0,99.3,36.0,91.8,78.9,0.180
Full fine-tuning,87.8,79.5,99.3,88.9,86.3,88.4,85.979
VPT-S,87.6,80.9,99.3,38.5,92.3,79.7,0.188
VPT-D,88.9,83.5,99.6,66.7,88.8,85.5,0.273
SSF,86.4,83.1,99.4,67.9,92.3,85.8,0.386
NOAH,N/S,N/S,N/S,N/S,N/S,N/S,N/S
RepAdapter-B,N/S,N/S,N/S,N/S,N/S,N/S,N/S
RepAdapter-A,N/S,N/S,N/S,N/S,N/S,N/S,N/S
Adapter,88.3,82.8,99.6,72.6,91.7,87.0,0.337
AdaptFormer,N/S,N/S,N/S,N/S,N/S,N/S,N/S
AdaptFormer-FPET,N/S,N/S,N/S,N/S,N/S,N/S,N/S
LoRA,87.5,82.9,99.5,71.7,91.5,86.6,0.475
DoRA,87.6,82.8,99.5,71.7,91.6,86.6,0.503
VeRA,88.1,82.8,99.3,47.3,92.1,81.9,0.208
OFT,81.4,80.2,99.5,78.1,91.1,86.1,0.664
GOFT,80.9,80.2,99.5,78.2,91.1,86.0,0.729
MOIL,87.7,82.8,99.6,71.4,91.5,86.6,0.485
LoRA-FPET,N/S,N/S,N/S,N/S,N/S,N/S,N/S
LoRA+Adapter,88.0,82.9,99.6,75.7,91.4,87.5,0.632
FacT-style,88.6,83.1,99.5,75.2,91.2,87.5,0.770
SPT-style,87.5,80.8,99.2,40.0,92.6,80.0,0.189
BitFit,88.5,83.8,99.4,58.0,92.2,84.4,0.283
CVPT,89.0,84.9,99.5,56.2,91.4,84.2,0.226
Ours / SCOPE,89.0,84.6,99.4,60.7,92.0,85.1,0.222
