Methods,Natural,Specialized,Structured,Mean,Total Params. (M),,,,,,,,,,,,,,,,,,,
Meth.,C100,Cal,DTD,Flo,Pet,SVHN,SUN,N-Avg,Cam,Eur,Res,Ret,S-Avg,Cnt,Dist,DML,KIT,Loc,Ori,Azi,Ele,T-Avg,Avg,P(M)
AOFT,84.2,91.6,71.4,99.0,91.3,88.4,59.6,83.6,86.9,96.7,85.0,70.3,84.7,78.8,62.0,50.6,83.0,86.9,53.8,28.0,45.3,61.0,74.4,0.16
Linear,73.7,87.1,67.9,98.7,89.9,32.5,56.9,72.4,79.3,87.5,74.3,39.0,70.0,34.0,32.6,34.7,60.9,18.3,31.0,12.5,26.2,31.3,54.6,0.038
Full FT,54.8,85.3,66.5,96.0,88.0,76.4,16.4,69.1,88.2,96.6,83.1,53.6,80.4,83.2,64.8,41.6,80.5,79.0,53.0,23.5,46.6,59.0,67.2,85.837
VPT-S,78.8,89.8,69.5,98.8,90.0,42.5,56.9,75.2,80.7,89.5,77.6,48.7,74.1,44.3,53.6,37.1,64.7,54.3,39.0,12.8,26.9,41.6,60.8,0.046
VPT-D,83.1,90.7,68.2,98.9,89.8,87.4,50.8,81.3,83.5,96.2,81.1,65.1,81.5,77.9,63.1,47.5,77.5,84.2,54.0,28.4,43.1,59.5,72.1,0.130
SSF,74.4,90.5,72.2,98.8,90.5,90.2,59.5,82.3,85.4,95.9,82.3,63.9,81.9,80.9,61.8,47.6,80.2,80.2,52.5,21.6,38.4,57.9,71.9,0.244
NOAH,84.7,93.8,70.5,99.2,90.0,90.4,59.1,84.0,84.9,96.6,85.4,73.8,85.2,83.8,62.8,49.8,79.6,92.5,52.9,27.4,43.4,61.5,74.8,0.398
RepAd-B,87.1,91.2,76.6,98.8,92.9,91.4,57.9,85.1,86.8,96.8,85.5,55.6,81.2,82.2,68.6,49.1,80.7,80.5,47.0,37.3,43.8,61.2,74.2,0.28
RepAd-A,85.7,91.0,78.8,98.5,92.8,90.0,56.5,84.8,85.7,96.3,83.6,68.2,83.4,81.5,69.3,49.0,81.9,79.2,45.6,33.9,44.2,60.6,74.3,0.16
Adapter,83.8,91.8,70.2,99.3,91.3,85.8,60.0,83.2,86.8,96.9,85.1,64.3,83.3,84.1,59.3,48.6,77.9,76.5,53.4,26.4,39.7,58.2,72.7,0.195
AdaptF,81.1,92.6,70.4,99.2,91.3,89.0,57.1,82.9,88.0,96.7,85.6,64.6,83.7,83.7,63.3,52.1,79.5,87.7,54.3,34.4,44.2,62.4,74.5,0.19
AdaptF+FPET,81.0,92.8,70.2,99.1,90.5,89.2,57.4,82.9,87.9,96.7,84.8,54.7,81.0,83.2,63.1,51.8,81.3,87.6,54.1,34.7,42.7,62.3,73.8,0.19
LoRA,82.9,92.6,71.7,99.0,91.8,89.2,58.9,83.7,86.9,96.2,84.6,57.0,81.2,82.8,60.8,49.7,77.6,71.6,53.9,29.2,41.3,58.4,72.5,0.333
DoRA,78.3,92.9,71.3,99.1,91.8,90.2,58.9,83.2,86.9,96.5,84.4,60.1,82.0,83.0,59.5,50.9,77.6,79.4,53.3,29.6,41.4,59.4,72.9,0.361
VeRA,79.4,88.0,69.7,99.0,91.0,55.4,56.6,77.0,80.9,90.4,79.6,43.9,73.7,57.4,47.0,39.2,72.0,65.9,51.8,13.9,29.7,47.1,63.7,0.066
OFT,83.1,92.3,68.8,98.7,91.6,90.5,53.8,82.7,86.9,97.0,85.7,49.3,79.7,76.2,60.3,49.4,78.3,79.5,48.4,24.4,33.1,56.2,70.9,0.522
GOFT,83.1,92.5,68.7,99.0,91.7,91.3,53.1,82.8,87.1,97.1,86.2,56.3,81.7,76.6,60.0,50.2,79.9,78.9,48.1,24.5,35.4,56.7,71.6,0.586
MOIL,83.5,93.0,71.6,99.0,91.9,89.8,59.0,84.0,86.9,96.2,84.8,59.5,81.8,83.9,58.7,49.0,78.3,70.7,53.1,29.0,40.7,57.9,72.6,0.342
LoRA+FPET,79.5,91.1,70.1,98.9,90.3,86.2,56.9,81.9,87.7,95.9,83.2,52.7,79.9,82.7,64.6,49.9,80.2,86.2,53.2,35.1,45.0,62.1,73.1,0.34
LoRA+Adpt,80.5,92.3,71.2,99.3,91.6,88.3,59.6,83.2,87.1,96.8,86.7,54.8,81.4,83.2,60.7,50.5,80.3,84.8,53.2,26.7,38.7,59.8,73.0,0.490
FacT,84.2,92.2,72.9,98.9,91.3,89.2,59.7,84.0,87.2,97.1,86.0,65.2,83.9,83.1,59.8,50.4,80.2,84.9,53.5,27.2,40.6,60.0,73.9,0.628
SPT,78.1,89.0,69.6,98.8,90.3,53.2,56.0,76.4,81.5,89.5,78.3,50.5,74.9,43.6,55.1,37.4,64.8,57.0,35.7,12.6,27.5,41.7,61.5,0.046
BitFit,82.1,90.4,72.1,98.9,90.3,89.0,59.6,83.2,85.1,95.2,81.5,53.3,78.8,79.9,61.9,47.0,80.5,83.3,54.1,17.5,39.0,57.9,71.6,0.141
CVPT,82.4,91.0,72.7,98.8,90.7,90.6,55.2,83.1,86.8,97.0,87.1,52.4,80.8,77.9,66.9,50.3,77.5,78.2,52.2,34.1,45.1,60.3,73.0,0.37
Ours,84.6,92.8,74.3,99.3,91.5,92.3,59.6,84.9,88.0,96.9,86.3,70.3,85.4,83.7,69.3,52.1,83.0,87.7,56.0,38.0,45.4,64.4,76.4,0.17
