Method,PatchCamelyon,EuroSAT,RESISC45,Retinopathy,Spec. Mean,Params(M)
AOFT,86.9,96.7,85.0,70.3,84.7,0.160
Linear,79.3,87.5,74.3,39.0,70.0,0.038
Full fine-tuning,88.2,96.6,83.1,53.6,80.4,85.837
VPT-S,80.7,89.5,77.6,48.7,74.1,0.046
VPT-D,83.5,96.2,81.1,65.1,81.5,0.130
SSF,85.4,95.9,82.3,63.9,81.9,0.244
NOAH,84.9,96.6,85.4,73.8,85.2,0.398
RepAdapter-B,86.8,96.8,85.5,55.6,81.2,0.278
RepAdapter-A,85.7,96.3,83.6,68.2,83.4,0.158
Adapter,86.8,96.9,85.1,64.3,83.3,0.195
AdaptFormer,88.0,96.7,85.6,64.6,83.7,0.186
AdaptFormer-FPET,87.9,96.7,84.8,54.7,81.0,0.190
LoRA,86.9,96.2,84.6,57.0,81.2,0.333
DoRA,86.9,96.5,84.4,60.1,82.0,0.361
VeRA,80.9,90.4,79.6,43.9,73.7,0.066
OFT,86.9,97.0,85.7,49.3,79.7,0.522
GOFT,87.1,97.1,86.2,56.3,81.7,0.586
MOIL,86.9,96.2,84.8,59.5,81.8,0.342
LoRA-FPET,87.7,95.9,83.2,52.7,79.9,0.337
LoRA+Adapter‡,87.1,96.8,86.7,54.8,81.4,0.490
FacT-style,87.2,97.1,86.0,65.2,83.9,0.628
SPT-style,81.5,89.5,78.3,50.5,74.9,0.046
BitFit,85.1,95.2,81.5,53.3,78.8,0.141
CVPT,86.8,97.0,87.1,52.4,80.8,0.368
Ours / SCOPE,88.0,96.9,86.3,70.3,85.4,0.166
