Method,CLEVR-Count,CLEVR-Dist,DMLab,KITTI,dSprites-Loc,dSprites-Ori,SmallNORB-Azi,SmallNORB-Ele,Str. Mean,Params(M)
AOFT,78.8,62.0,50.6,83.0,86.9,53.8,28.0,45.3,61.0,0.160
Linear,34.0,32.6,34.7,60.9,18.3,31.0,12.5,26.2,31.3,0.038
Full fine-tuning,83.2,64.8,41.6,80.5,79.0,53.0,23.5,46.6,59.0,85.837
VPT-S,44.3,53.6,37.1,64.7,54.3,39.0,12.8,26.9,41.6,0.046
VPT-D,77.9,63.1,47.5,77.5,84.2,54.0,28.4,43.1,59.5,0.130
SSF,80.9,61.8,47.6,80.2,80.2,52.5,21.6,38.4,57.9,0.244
NOAH,83.8,62.8,49.8,79.6,92.5,52.9,27.4,43.4,61.5,0.398
RepAdapter-B,82.2,68.6,49.1,80.7,80.5,47.0,37.3,43.8,61.2,0.278
RepAdapter-A,81.5,69.3,49.0,81.9,79.2,45.6,33.9,44.2,60.6,0.158
Adapter,84.1,59.3,48.6,77.9,76.5,53.4,26.4,39.7,58.2,0.195
AdaptFormer,83.7,63.3,52.1,79.5,87.7,54.3,34.4,44.2,62.4,0.186
AdaptFormer-FPET,83.2,63.1,51.8,81.3,87.6,54.1,34.7,42.7,62.3,0.190
LoRA,82.8,60.8,49.7,77.6,71.6,53.9,29.2,41.3,58.4,0.333
DoRA,83.0,59.5,50.9,77.6,79.4,53.3,29.6,41.4,59.4,0.361
VeRA,57.4,47.0,39.2,72.0,65.9,51.8,13.9,29.7,47.1,0.066
OFT,76.2,60.3,49.4,78.3,79.5,48.4,24.4,33.1,56.2,0.522
GOFT,76.6,60.0,50.2,79.9,78.9,48.1,24.5,35.4,56.7,0.586
MOIL,83.9,58.7,49.0,78.3,70.7,53.1,29.0,40.7,57.9,0.342
LoRA-FPET,82.7,64.6,49.9,80.2,86.2,53.2,35.1,45.0,62.1,0.337
LoRA+Adapter‡,83.2,60.7,50.5,80.3,84.8,53.2,26.7,38.7,59.8,0.490
FacT-style,83.1,59.8,50.4,80.2,84.9,53.5,27.2,40.6,60.0,0.628
SPT-style,43.6,55.1,37.4,64.8,57.0,35.7,12.6,27.5,41.7,0.046
BitFit,79.9,61.9,47.0,80.5,83.3,54.1,17.5,39.0,57.9,0.141
CVPT,77.9,66.9,50.3,77.5,78.2,52.2,34.1,45.1,60.3,0.368
Ours / SCOPE,83.7,69.3,52.1,83.0,87.7,56.0,38.0,45.4,64.4,0.166
